Name,hermes.sivers.pi+.3d
Comment,HERMESS SSA-Sivers pi+ (3d-data). The data MUST be evaluated at a point
Reference,2007.07755
Process type,SIDIS
Number of points,64
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.073
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.sivers.pi+.3d.49,1 - 1 - 12001,1 - 1 - 2001,52.657444,2.292596780945136,1.2083341335037487,5.4326082133722835,0.214,0.138,0.6,0.241,0.2,0.28,0.29,0.23,0.36,0.053369,0.020742,0.003146,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.50,1 - 1 - 12001,1 - 1 - 2001,52.657444,2.2825424421026654,1.2083341335037487,5.4326082133722835,0.207,0.138,0.6,0.24,0.2,0.28,0.44,0.36,0.54,0.002487,0.027217,0.000198,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.51,1 - 1 - 12001,1 - 1 - 2001,52.657444,2.3285188425262957,1.2083341335037487,5.4326082133722835,0.209,0.138,0.6,0.244,0.2,0.28,0.637,0.54,2.0,-0.037597,0.067031,0.008044,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.52,1 - 1 - 12001,1 - 1 - 2001,52.657444,2.1168372634664196,1.2083341335037487,5.4326082133722835,0.201,0.138,0.6,0.321,0.28,0.37,0.147,0.0,0.23,-0.001123,0.017898,0.00579,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.53,1 - 1 - 12001,1 - 1 - 2001,52.657444,2.1542980295214496,1.2083341335037487,5.4326082133722835,0.21,0.138,0.6,0.323,0.28,0.37,0.292,0.23,0.36,0.069347,0.020913,0.001349,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.54,1 - 1 - 12001,1 - 1 - 2001,52.657444,2.2104298224553522,1.2083341335037487,5.4326082133722835,0.211,0.138,0.6,0.324,0.28,0.37,0.439,0.36,0.54,0.045541,0.023719,0.000912,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.55,1 - 1 - 12001,1 - 1 - 2001,52.657444,2.22081066279861,1.2083341335037487,5.4326082133722835,0.205,0.138,0.6,0.325,0.28,0.37,0.671,0.54,2.0,0.107159,0.038409,0.003497,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.56,1 - 1 - 12001,1 - 1 - 2001,52.657444,2.093800372528384,1.2083341335037487,5.4326082133722835,0.201,0.138,0.6,0.422,0.37,0.49,0.15,0.0,0.23,0.022908,0.020982,0.003923,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.57,1 - 1 - 12001,1 - 1 - 2001,52.657444,2.093800372528384,1.2083341335037487,5.4326082133722835,0.205,0.138,0.6,0.424,0.37,0.49,0.294,0.23,0.36,0.054012,0.022354,0.00165,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.58,1 - 1 - 12001,1 - 1 - 2001,52.657444,2.1554581879498382,1.2083341335037487,5.4326082133722835,0.21,0.138,0.6,0.427,0.37,0.49,0.438,0.36,0.54,0.075634,0.022841,0.00218,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.59,1 - 1 - 12001,1 - 1 - 2001,52.657444,2.2,1.2083341335037487,5.4326082133722835,0.205,0.138,0.6,0.427,0.37,0.49,0.704,0.54,2.0,0.110309,0.029001,0.002323,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.60,1 - 1 - 12001,1 - 1 - 2001,52.657444,2.0815859338494773,1.2083341335037487,5.4326082133722835,0.2,0.138,0.6,0.575,0.49,0.7,0.153,0.0,0.23,0.029106,0.025803,0.002488,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.61,1 - 1 - 12001,1 - 1 - 2001,52.657444,2.0690577565645674,1.2083341335037487,5.4326082133722835,0.2,0.138,0.6,0.577,0.49,0.7,0.296,0.23,0.36,0.03189,0.025168,0.001729,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.62,1 - 1 - 12001,1 - 1 - 2001,52.657444,2.100238081742163,1.2083341335037487,5.4326082133722835,0.206,0.138,0.6,0.58,0.49,0.7,0.444,0.36,0.54,0.123276,0.022895,0.003665,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.63,1 - 1 - 12001,1 - 1 - 2001,52.657444,2.195905280288747,1.2083341335037487,5.4326082133722835,0.209,0.138,0.6,0.587,0.49,0.7,0.723,0.54,2.0,0.091361,0.023789,0.010074,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
