Name,hermes.sivers.pi-.3d
Comment,HERMESS SSA-Sivers pi- (3d-data). The data MUST be evaluated at a point
Reference,2007.07755
Process type,SIDIS
Number of points,64
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.073
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.sivers.pi-.3d.39,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.7818529681205462,1.0,2.6053873723498393,0.116,0.098,0.138,0.324,0.28,0.37,0.675,0.54,2.0,0.004205,0.036744,0.000274,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.40,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.5462858726639133,1.0,2.6053873723498393,0.116,0.098,0.138,0.422,0.37,0.49,0.148,0.0,0.23,-0.003215,0.030405,0.002408,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.41,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.5738487856207788,1.0,2.6053873723498393,0.116,0.098,0.138,0.425,0.37,0.49,0.293,0.23,0.36,-0.062701,0.032766,0.003904,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.42,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.6727223320085136,1.0,2.6053873723498393,0.116,0.098,0.138,0.426,0.37,0.49,0.441,0.36,0.54,-0.027651,0.037753,0.000653,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.43,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.7314733610425546,1.0,2.6053873723498393,0.115,0.098,0.138,0.424,0.37,0.49,0.716,0.54,2.0,-0.007675,0.035361,0.007889,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.44,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.5388307249337076,1.0,2.6053873723498393,0.116,0.098,0.138,0.579,0.49,0.7,0.15,0.0,0.23,-0.020405,0.036262,0.002853,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.45,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.5449919093639293,1.0,2.6053873723498393,0.116,0.098,0.138,0.577,0.49,0.7,0.295,0.23,0.36,-0.070915,0.035007,0.006411,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.46,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.5965587994182988,1.0,2.6053873723498393,0.116,0.098,0.138,0.583,0.49,0.7,0.441,0.36,0.54,-0.032035,0.036485,0.002822,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.47,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.7076299364909249,1.0,2.6053873723498393,0.115,0.098,0.138,0.581,0.49,0.7,0.747,0.54,2.0,0.022043,0.036989,0.008627,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.48,1 - 1 - 12021,1 - 1 - 2021,52.657444,2.2163032283512107,1.2083341335037487,5.4326082133722835,0.204,0.138,0.6,0.239,0.2,0.28,0.141,0.0,0.23,0.004021,0.019156,0.001896,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.49,1 - 1 - 12021,1 - 1 - 2021,52.657444,2.285169577952586,1.2083341335037487,5.4326082133722835,0.212,0.138,0.6,0.24,0.2,0.28,0.29,0.23,0.36,0.015529,0.025379,0.00138,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.50,1 - 1 - 12021,1 - 1 - 2021,52.657444,2.2768399153212333,1.2083341335037487,5.4326082133722835,0.205,0.138,0.6,0.239,0.2,0.28,0.443,0.36,0.54,0.019564,0.033495,0.001887,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.51,1 - 1 - 12021,1 - 1 - 2021,52.657444,2.3246505113672464,1.2083341335037487,5.4326082133722835,0.211,0.138,0.6,0.243,0.2,0.28,0.645,0.54,2.0,-0.045896,0.081046,0.011077,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.52,1 - 1 - 12021,1 - 1 - 2021,52.657444,2.1007141642784246,1.2083341335037487,5.4326082133722835,0.199,0.138,0.6,0.321,0.28,0.37,0.148,0.0,0.23,-0.017002,0.02234,0.000262,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.53,1 - 1 - 12021,1 - 1 - 2021,52.657444,2.13283848427395,1.2083341335037487,5.4326082133722835,0.208,0.138,0.6,0.322,0.28,0.37,0.291,0.23,0.36,-0.005021,0.025848,0.003316,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.54,1 - 1 - 12021,1 - 1 - 2021,52.657444,2.1918029108475974,1.2083341335037487,5.4326082133722835,0.211,0.138,0.6,0.323,0.28,0.37,0.44,0.36,0.54,0.02193,0.030418,0.001121,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.55,1 - 1 - 12021,1 - 1 - 2021,52.657444,2.1883783950679097,1.2083341335037487,5.4326082133722835,0.204,0.138,0.6,0.324,0.28,0.37,0.679,0.54,2.0,-0.033565,0.047377,0.001219,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.56,1 - 1 - 12021,1 - 1 - 2021,52.657444,2.0651876428063383,1.2083341335037487,5.4326082133722835,0.197,0.138,0.6,0.422,0.37,0.49,0.149,0.0,0.23,0.038966,0.027201,0.000119,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.57,1 - 1 - 12021,1 - 1 - 2021,52.657444,2.0765355763867857,1.2083341335037487,5.4326082133722835,0.203,0.138,0.6,0.424,0.37,0.49,0.294,0.23,0.36,0.03565,0.028411,8.2e-05,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.58,1 - 1 - 12021,1 - 1 - 2021,52.657444,2.1419617176784462,1.2083341335037487,5.4326082133722835,0.212,0.138,0.6,0.425,0.37,0.49,0.438,0.36,0.54,0.044686,0.030101,0.003248,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.59,1 - 1 - 12021,1 - 1 - 2021,52.657444,2.186321110907545,1.2083341335037487,5.4326082133722835,0.208,0.138,0.6,0.426,0.37,0.49,0.712,0.54,2.0,0.062191,0.037226,0.007797,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.60,1 - 1 - 12021,1 - 1 - 2021,52.657444,2.0610676844781204,1.2083341335037487,5.4326082133722835,0.197,0.138,0.6,0.574,0.49,0.7,0.152,0.0,0.23,-0.003931,0.033473,0.000334,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.61,1 - 1 - 12021,1 - 1 - 2021,52.657444,2.0334699407662753,1.2083341335037487,5.4326082133722835,0.198,0.138,0.6,0.574,0.49,0.7,0.295,0.23,0.36,0.029923,0.033269,0.002094,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.62,1 - 1 - 12021,1 - 1 - 2021,52.657444,2.06082507748717,1.2083341335037487,5.4326082133722835,0.203,0.138,0.6,0.579,0.49,0.7,0.443,0.36,0.54,0.000816,0.031999,0.004054,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.63,1 - 1 - 12021,1 - 1 - 2021,52.657444,2.160092590608097,1.2083341335037487,5.4326082133722835,0.21,0.138,0.6,0.581,0.49,0.7,0.726,0.54,2.0,-0.027777,0.033481,0.002269,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
