Name,hermes.sivers.k+.3d
Comment,HERMESS SSA-Sivers k+ (3d-data). The data MUST be evaluated at a point
Reference,2007.07755
Process type,SIDIS
Number of points,64
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.073
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.sivers.k+.3d.51,1 - 1 - 12002,1 - 1 - 2002,52.657444,2.2845130772223654,1.2083341335037487,5.4326082133722835,0.211,0.138,0.6,0.246,0.2,0.28,0.645,0.54,2.0,-0.30982,0.191291,0.063809,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.52,1 - 1 - 12002,1 - 1 - 2002,52.657444,2.1828879952943074,1.2083341335037487,5.4326082133722835,0.204,0.138,0.6,0.323,0.28,0.37,0.142,0.0,0.23,0.08377,0.044553,0.007649,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.53,1 - 1 - 12002,1 - 1 - 2002,52.657444,2.2376326776305353,1.2083341335037487,5.4326082133722835,0.211,0.138,0.6,0.325,0.28,0.37,0.289,0.23,0.36,-0.029512,0.054035,0.017145,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.54,1 - 1 - 12002,1 - 1 - 2002,52.657444,2.2454398232862975,1.2083341335037487,5.4326082133722835,0.203,0.138,0.6,0.325,0.28,0.37,0.443,0.36,0.54,0.059003,0.059699,0.009926,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.55,1 - 1 - 12002,1 - 1 - 2002,52.657444,2.166564100136435,1.2083341335037487,5.4326082133722835,0.198,0.138,0.6,0.327,0.28,0.37,0.681,0.54,2.0,0.024515,0.087656,0.005974,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.56,1 - 1 - 12002,1 - 1 - 2002,52.657444,2.151743479135001,1.2083341335037487,5.4326082133722835,0.204,0.138,0.6,0.424,0.37,0.49,0.15,0.0,0.23,0.013352,0.045512,0.002325,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.57,1 - 1 - 12002,1 - 1 - 2002,52.657444,2.1505813167606567,1.2083341335037487,5.4326082133722835,0.204,0.138,0.6,0.425,0.37,0.49,0.292,0.23,0.36,0.124452,0.048465,0.005425,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.58,1 - 1 - 12002,1 - 1 - 2002,52.657444,2.215851980616034,1.2083341335037487,5.4326082133722835,0.21,0.138,0.6,0.426,0.37,0.49,0.439,0.36,0.54,0.12833,0.050537,0.005551,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.59,1 - 1 - 12002,1 - 1 - 2002,52.657444,2.241205033012375,1.2083341335037487,5.4326082133722835,0.204,0.138,0.6,0.428,0.37,0.49,0.707,0.54,2.0,0.088792,0.062251,0.028871,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.60,1 - 1 - 12002,1 - 1 - 2002,52.657444,2.1321350801485353,1.2083341335037487,5.4326082133722835,0.204,0.138,0.6,0.576,0.49,0.7,0.149,0.0,0.23,0.125963,0.055329,0.005386,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.61,1 - 1 - 12002,1 - 1 - 2002,52.657444,2.1253235047869774,1.2083341335037487,5.4326082133722835,0.206,0.138,0.6,0.577,0.49,0.7,0.296,0.23,0.36,0.152993,0.051563,0.005765,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.62,1 - 1 - 12002,1 - 1 - 2002,52.657444,2.151278689523977,1.2083341335037487,5.4326082133722835,0.207,0.138,0.6,0.583,0.49,0.7,0.443,0.36,0.54,0.164673,0.047205,0.002671,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.63,1 - 1 - 12002,1 - 1 - 2002,52.657444,2.2485550916088313,1.2083341335037487,5.4326082133722835,0.21,0.138,0.6,0.589,0.49,0.7,0.731,0.54,2.0,0.152441,0.050995,0.002481,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
