Name,CDF2
Comment,CDF run2
Reference,arXiv:1207.7138
Process type,DY
Number of points,82
Number of uncorr.errors,1
Number of corr.errors,1
Number of norm.errors,1
List of norm.errors (relative),0.058
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Corr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
CDF2.60,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,42.0,40.0,44.0,0.5605,0.0193,0.0055,0.25,False,0.0,0.0,-1000.0,1000.0
CDF2.61,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,46.0,44.0,48.0,0.46,0.0179,0.0044,0.25,False,0.0,0.0,-1000.0,1000.0
CDF2.62,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,50.0,48.0,52.0,0.3552,0.0156,0.0033,0.25,False,0.0,0.0,-1000.0,1000.0
CDF2.63,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,54.0,52.0,56.0,0.276,0.0136,0.0025,0.25,False,0.0,0.0,-1000.0,1000.0
CDF2.64,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,58.0,56.0,60.0,0.2311,0.0128,0.002,0.25,False,0.0,0.0,-1000.0,1000.0
CDF2.65,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,62.5,60.0,65.0,0.1618,0.0089,0.0014,0.2,False,0.0,0.0,-1000.0,1000.0
CDF2.66,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,67.5,65.0,70.0,0.1343,0.0084,0.0011,0.2,False,0.0,0.0,-1000.0,1000.0
CDF2.67,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,72.5,70.0,75.0,0.1094,0.0078,0.0009,0.2,False,0.0,0.0,-1000.0,1000.0
CDF2.68,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,77.5,75.0,80.0,0.08415,0.00678,0.00068,0.2,False,0.0,0.0,-1000.0,1000.0
CDF2.69,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,82.5,80.0,85.0,0.06347,0.00565,0.00049,0.2,False,0.0,0.0,-1000.0,1000.0
CDF2.70,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,87.5,85.0,90.0,0.04982,0.00504,0.00038,0.2,False,0.0,0.0,-1000.0,1000.0
CDF2.71,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,92.5,90.0,95.0,0.03786,0.00422,0.00028,0.2,False,0.0,0.0,-1000.0,1000.0
CDF2.72,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,97.5,95.0,100.0,0.02988,0.00389,0.00023,0.2,False,0.0,0.0,-1000.0,1000.0
CDF2.73,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,105.0,100.0,110.0,0.02298,0.00227,0.00016,0.1,False,0.0,0.0,-1000.0,1000.0
CDF2.74,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,115.0,110.0,120.0,0.01449,0.00178,0.0001,0.1,False,0.0,0.0,-1000.0,1000.0
CDF2.75,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,125.0,120.0,130.0,0.009369,0.001389,6.4e-05,0.1,False,0.0,0.0,-1000.0,1000.0
CDF2.76,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,135.0,130.0,140.0,0.008395,0.001496,5.5e-05,0.1,False,0.0,0.0,-1000.0,1000.0
CDF2.77,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,145.0,140.0,150.0,0.005304,0.001174,3.4e-05,0.1,False,0.0,0.0,-1000.0,1000.0
CDF2.78,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,162.5,150.0,175.0,0.001861,0.000331,1.2e-05,0.04,False,0.0,0.0,-1000.0,1000.0
CDF2.79,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,187.5,175.0,200.0,0.0005283,0.0001478,3.1e-06,0.04,False,0.0,0.0,-1000.0,1000.0
CDF2.80,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,225.0,200.0,250.0,0.0002838,0.0001019,1.9e-06,0.02,False,0.0,0.0,-1000.0,1000.0
CDF2.81,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,300.0,250.0,350.0,0.0001489,0.0001162,9e-07,0.01,False,0.0,0.0,-1000.0,1000.0
